intent,snippet
"""pythonic"" method to parse a string of comma-separated integers into a list of integers?","mylist = [int(x) for x in '3 ,2 ,6 '.split(',')]"
"find the greatest number in set `(1, 2, 3)`","print(max(1, 2, 3))"
concatenate rows of pandas dataframe with same id,df.groupby('id').agg(lambda x: x.tolist())
how do you calculate the greatest number of repetitions in a list?,"print(max(group, key=lambda k: len(list(k[1]))))"
get the first and last 3 elements of list `l`,l[:3] + l[-3:]
calculation between groups in a pandas multiindex dataframe,df['ratio'] = df.groupby(level=0)[3].transform(lambda x: x[0] / x[1])
removing duplicates from nested list based on first 2 elements,"list({(x[0], x[1]): x for x in L}.values())"
python inverse of a matrix,"A = matrix([[1, 2, 3], [11, 12, 13], [21, 22, 23]])"
how to print integers as hex strings using json.dumps() in python,"{'a': '0x1', 'c': '0x3', 'b': 2.0}"
is there a simple way to change a column of yes/no to 1/0 in a pandas dataframe?,"pd.Series(np.where(sample.housing.values == 'yes', 1, 0), sample.index)"
read csv file 'my.csv' into a dataframe `df` with datatype of float for column 'my_column' considering character 'n/a' as nan value,"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])"
group a list `list_of_tuples` of tuples by values,zip(*list_of_tuples)
get count of values associated with key in dict python,"len([x for x in s if x.get('success', False)])"
how do i split an ndarray based on array of indexes?,"array([[0, 1], [2, 3], [6, 7], [8, 9], [10, 11]])"
how to sort in decreasing value first then increasing in second value,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
json->string in python,print(result[0]['status'])
search for string 'blabla' in txt file 'example.txt',"f = open('example.txt')
get unique values from a list in python,mylist = list(set(mylist))
pandas dataframe group year index by decade,df.groupby(df.index.year // 10 * 10).sum()
find the indices of elements greater than x,"[(i, j) for i, j in zip(a, x)]"
how to replace all occurrences of regex as if applying replace repeatedly,"""""""\\1 xby """""""
"pandas, multiply all the numeric values in the data frame by a constant","df.ix[:, (~np.in1d(df.dtypes, ['object', 'datetime']))] *= 3"
elegant way to modify a list of variables by reference in python?,"setattr(i, x, f(getattr(i, x)))"
how to drop a list of rows from pandas dataframe?,"df.drop(df.index[[1, 3]], inplace=True)"
django model field default based on another model field,"super(ModelB, self).save(*args, **kwargs)"
check if key 'a' in `d`,('a' in d)
how to zip lists in a list,"zip(*[[1, 2], [3, 4], [5, 6]])"
make all keys lowercase in dictionary `d`,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}"
how do i add a new column to a spark dataframe (using pyspark)?,"df.select('*', (df.age + 10).alias('agePlusTen'))"
how to check if a value exists in a dictionary (python),'one' in list(d.values())
creating a numpy array of 3d coordinates from three 1d arrays,"np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T"
"zip two lists `[1, 2]` and `[3, 4]` into a list of two tuples containing elements at the same index in each list","zip([1, 2], [3, 4])"
"pandas, dataframe: splitting one column into multiple columns","pd.concat([df, df.dictionary.apply(str2dict).apply(pd.Series)], axis=1)"
python map list of strings to integer list,"k = [1, 1, 2, 3]"
understanding list comprehension for flattening list of lists in python,[item for sublist in (list_of_lists for item in sublist)]
python lambda returning none instead of empty string,lambda x: x if x is not None else ''
replace values in an array,"b = np.where(np.isnan(a), 0, a)"
how to transform a time series pandas dataframe using the index attributes?,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')"
grouping pandas dataframe by n days starting in the begining of the day,df['date'] = pd.to_datetime(df['date'])
python convert csv to xlsx,workbook.close()
python: count number of elements in list for if condition,[i for i in x if 60 < i < 70]
how to convert 2d float numpy array to 2d int numpy array?,y.astype(int)
how to print floating point numbers as it is without any truncation in python?,print('{:.100f}'.format(2.345e-67))
remove characters in `b` from a string `a`,"a = a.replace(char, '')"
an elegant way of finding the closest value in a circular ordered list,"min(L, key=lambda theta: angular_distance(theta, 1))"
assigning a value to python list doesn't work?,l = [0] * N
is there a numpy function to return the first index of something in an array?,itemindex = numpy.where(array == item)
join numpy array `b` with numpy array 'a' along axis 0,"b = np.concatenate((a, a), axis=0)"
converting a dict into a list,print([y for x in list(dict.items()) for y in x])
list comprehension with if statement,[y for y in a if y not in b]
convert a python dictionary `d` to a list of tuples,"[(v, k) for k, v in list(d.items())]"
sort python list of objects by date,results.sort(key=lambda r: r.person.birthdate)
how to get the union of two lists using list comprehension?,list(set(a).union(b))
how to extend a fixed-length python list by variable number of characters?,list2 = list1 + [''] * (5 - len(list1))
"creating a numpy array of 3d coordinates from three 1d arrays `x_p`, `y_p` and `z_p`","np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T"
python - insert into list,my_list = my_list[:8] + new_array
removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
python map list of strings to integer list,"s = ['michael', 'michael', 'alice', 'carter']"
count the number of elements in array `myarray`,len(myArray)
sort a multidimensional array `a` by column with index 1,"sorted(a, key=lambda x: x[1])"
plotting histograms from grouped data in a pandas dataframe,df['N'].hist(by=df['Letter'])
convert a python dictionary 'a' to a list of tuples,"[(k, v) for k, v in a.items()]"
read the contents of the file 'file.txt' into `txt`,txt = open('file.txt').read()
"random python dictionary key, weighted by values",random.choice([k for k in d for x in d[k]])
checking if any elements in one list are in another,len(set(list1).intersection(list2)) > 0
how do you extract a column from a multi-dimensional array?,return [row[i] for row in matrix]
how to code autocompletion in python?,self.matches = [s for s in self.options if s and s.startswith(text)]
sort a python dictionary `a_dict` by element `1` of the value,"sorted(list(a_dict.items()), key=lambda item: item[1][1])"
multiple 'in' operators in python?,"all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])"
using insert with a postgresql database using python,conn.commit()
string formatting in python,"print('[%i, %i, %i]' % tuple(numberList))"
can i get a list of the variables that reference an other in python 2.7?,"['c', 'b', 'a', 'obj', 'a', 'a']"
how to merge two columns together in pandas,"pd.melt(df, id_vars='year')['year', 'value']"
how do i sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
extracting data from a text file with python,print('\n'.join(to_search[NAME]))
how to use map to lowercase strings in a dictionary?,"map(lambda x: {'content': x['content'].lower()}, messages)"
exclude column names when writing dataframe `df` to a csv file `filename.csv`,"df.to_csv('filename.csv', header=False)"
how do i find the scalar product of a numpy matrix ?,"b = np.fill_diagonal(np.zeros_like(a), value)"
python: comprehension to compose two dictionaries,"result = {k: d2.get(v) for k, v in list(d1.items())}"
concatenate row values for the same index in pandas,df.groupby('A')['expand'].apply(list)
count the number of words in a string `s`,len(s.split())
how to make a numpy array from an array of arrays?,np.vstack(counts_array)
return the column name(s) for a specific value in a pandas dataframe,"df.ix[:, (df.loc[0] == 38.15)].columns"
how to use list (or tuple) as string formatting value,x = '{} {}'.format(*s)
finding the largest delta between two integers in a list in python,"max(abs(x - y) for x, y in zip(values[1:], values[:-1]))"
"save array at index 0, index 1 and index 8 of array `np` to tmp file `tmp`","np.savez(tmp, *[getarray[0], getarray[1], getarray[8]])"
combine  dataframe `df1` and dataframe `df2` by index number,"pd.merge(df1, df2, left_index=True, right_index=True, how='outer')"
removing entries from a dictionary based on values,"dict((k, v) for k, v in hand.items() if v)"
python: how to sort a list of dictionaries by several values?,"sorted(your_list, key=itemgetter('name', 'age'))"
convert a html table to json,print(json.dumps(dict(table_data)))
how to calculate quantiles in a pandas multiindex dataframe?,"df.groupby(level=[0, 1]).agg(['median', 'quantile'])"
how to resample a df with datetime index to exactly n equally sized periods?,"df.resample('2D', how='sum')"
python dictionary get multiple values,[myDictionary.get(key) for key in keys]
multi-index sorting in pandas,"g = df.groupby(['Manufacturer', 'Product Launch Date', 'Product Name']).sum()"
what is the best way to remove a dictionary item by value in python?,"{key: val for key, val in list(myDict.items()) if val != 42}"
do group by on `cluster` column in `df` and get its mean,df.groupby(['cluster']).mean()
how to create a number of empty nested lists in python,lst = [[] for _ in range(a)]
create a list of integers from 1 to 5 with each value duplicated,[(i // 2) for i in range(10)]
how to resample a dataframe with different functions applied to each column?,"frame.resample('1H').agg({'radiation': np.sum, 'tamb': np.mean})"
how to convert a pandas dataframe subset of columns and rows into a numpy array?,"df.loc[df['c'] > 0.5, ['a', 'd']].values"
"get the dot product of matrix `[1,0,0,1,0,0]` and matrix `[[0,1],[1,1],[1,0],[1,0],[1,1],[0,1]]`","np.dot([1, 0, 0, 1, 0, 0], [[0, 1], [1, 1], [1, 0], [1, 0], [1, 1], [0, 1]])"
"pythonic way to fetch all elements in a dictionary, falling between two keys?","dict((k, v) for k, v in parent_dict.items() if 2 < k < 4)"
reverse sort items in default dictionary `citypopulation` by the third item in each key's list of values,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
check if string in pandas dataframe column is in list,print(frame[frame['a'].isin(mylist)])
get the last 10 elements from a list `my_list`,my_list[-10:]
find lowest value in a list of dictionaries in python,"min([1, 2, 3, 4, 6, 1, 0])"
reading a csv into pandas where one column is a json string,df[list(df['stats'][0].keys())] = df['stats'].apply(pandas.Series)
create a pandas data frame from list of nested dictionaries `my_list`,"pd.concat([pd.DataFrame(l) for l in my_list], axis=1).T"
how do you count cars in opencv with python?,img = cv2.imread('parking_lot.jpg')
extract columns from multiple text file with python,file_name.split('.')
python pandas - filter rows after groupby,"get_group_rows(df, 'A', 'B', 'median', '>')"
how to select rows start with some str in pandas?,"df.query('col.str[0] not list(""tc"")')"
pandas hdfstore - how to reopen?,"df1 = pd.read_hdf('/home/.../data.h5', 'firstSet')"
remove all values within one list from another list in python,"[x for x in a if x not in [2, 3, 7]]"
how to merge two python dictionaries in a single expression?,"z = merge_two_dicts(x, y)"
pandas how to apply multiple functions to dataframe,"df.groupby(lambda idx: 0).agg(['mean', 'std'])"
pythonic way to print a multidimensional complex numpy array to a string,""""""" """""".join([str(x) for x in np.hstack((a.T.real, a.T.imag)).flat])"
find max overlap in list of lists,"[[0, 1, 5], [2, 3], [13, 14], [4], [6, 7], [8, 9, 10, 11], [12], [15]]"
would it be possible to create multiple dataframes in one go?,"df.groupby(['A', 'S'])[cols].agg(['sum', 'size'])"
select rows from a dataframe based on values in a column in pandas,print(df.loc['one'])
padding a list in python with particular value,self.myList.extend([0] * (4 - len(self.myList)))
